Australian Bureau of Statistics,,,
,,,
"2016 Census - Employment, Income and Education",,,
SA2 (UR) by INCP Total Personal Income (weekly),,,
Counting: Persons Place of Usual Residence,,,
,,,
Filters:,,,
Default Summation,Persons Place of Usual Residence,,
,,,
Counting,SA2 (UR),INCP Total Personal Income (weekly),Count
Persons Place of Usual Residence,Bega-Eden Hinterland,"$3,000 or more ($156,000 or more)",78
Persons Place of Usual Residence,Bega-Eden Hinterland,Not stated,706
Persons Place of Usual Residence,Bega-Eden Hinterland,Not applicable,1458
Persons Place of Usual Residence,Bega-Eden Hinterland,Total,8795
Persons Place of Usual Residence,Broulee - Tomakin,Negative income,13
Persons Place of Usual Residence,Broulee - Tomakin,Nil income,136
Persons Place of Usual Residence,Broulee - Tomakin,"$1-$149 ($1-$7,799)",105
Persons Place of Usual Residence,Broulee - Tomakin,"$150-$299 ($7,800-$15,599)",201
Persons Place of Usual Residence,Broulee - Tomakin,"$300-$399 ($15,600-$20,799)",329
Persons Place of Usual Residence,Broulee - Tomakin,"$400-$499 ($20,800-$25,999)",291
Persons Place of Usual Residence,Broulee - Tomakin,"$500-$649 ($26,000-$33,799)",262
Persons Place of Usual Residence,Broulee - Tomakin,"$650-$799 ($33,800-$41,599)",262
Persons Place of Usual Residence,Broulee - Tomakin,"$800-$999 ($41,600-$51,999)",244
Persons Place of Usual Residence,Broulee - Tomakin,"$1,000-$1,249 ($52,000-$64,999)",213
Persons Place of Usual Residence,Broulee - Tomakin,"$1,250-$1,499 ($65,000-$77,999)",136
Persons Place of Usual Residence,Broulee - Tomakin,"$1,500-$1,749 ($78,000-$90,999)",103
Persons Place of Usual Residence,Broulee - Tomakin,"$1,750-$1,999 ($91,000-$103,999)",75
Persons Place of Usual Residence,Broulee - Tomakin,"$2,000-$2,999 ($104,000-$155,999)",72
Persons Place of Usual Residence,Broulee - Tomakin,"$3,000 or more ($156,000 or more)",46
Persons Place of Usual Residence,Broulee - Tomakin,Not stated,297
Persons Place of Usual Residence,Broulee - Tomakin,Not applicable,495
Persons Place of Usual Residence,Broulee - Tomakin,Total,3287
Persons Place of Usual Residence,Deua - Wadbilliga,Negative income,0
Persons Place of Usual Residence,Deua - Wadbilliga,Nil income,0
Persons Place of Usual Residence,Deua - Wadbilliga,"$1-$149 ($1-$7,799)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$150-$299 ($7,800-$15,599)",4
Persons Place of Usual Residence,Deua - Wadbilliga,"$300-$399 ($15,600-$20,799)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$400-$499 ($20,800-$25,999)",4
Persons Place of Usual Residence,Deua - Wadbilliga,"$500-$649 ($26,000-$33,799)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$650-$799 ($33,800-$41,599)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$800-$999 ($41,600-$51,999)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$1,000-$1,249 ($52,000-$64,999)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$1,250-$1,499 ($65,000-$77,999)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$1,500-$1,749 ($78,000-$90,999)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$1,750-$1,999 ($91,000-$103,999)",0
Persons Place of Usual Residence,Deua - Wadbilliga,"$2,000-$2,999 ($104,000-$155,999)",3
Persons Place of Usual Residence,Deua - Wadbilliga,"$3,000 or more ($156,000 or more)",0
Persons Place of Usual Residence,Deua - Wadbilliga,Not stated,6
Persons Place of Usual Residence,Deua - Wadbilliga,Not applicable,0
Persons Place of Usual Residence,Deua - Wadbilliga,Total,25
Persons Place of Usual Residence,Eden,Negative income,12
Persons Place of Usual Residence,Eden,Nil income,161
Persons Place of Usual Residence,Eden,"$1-$149 ($1-$7,799)",101
Persons Place of Usual Residence,Eden,"$150-$299 ($7,800-$15,599)",265
Persons Place of Usual Residence,Eden,"$300-$399 ($15,600-$20,799)",339
Persons Place of Usual Residence,Eden,"$400-$499 ($20,800-$25,999)",345
Persons Place of Usual Residence,Eden,"$500-$649 ($26,000-$33,799)",244
Persons Place of Usual Residence,Eden,"$650-$799 ($33,800-$41,599)",239
Persons Place of Usual Residence,Eden,"$800-$999 ($41,600-$51,999)",215
Persons Place of Usual Residence,Eden,"$1,000-$1,249 ($52,000-$64,999)",192
Persons Place of Usual Residence,Eden,"$1,250-$1,499 ($65,000-$77,999)",83
Persons Place of Usual Residence,Eden,"$1,500-$1,749 ($78,000-$90,999)",55
Persons Place of Usual Residence,Eden,"$1,750-$1,999 ($91,000-$103,999)",50
Persons Place of Usual Residence,Eden,"$2,000-$2,999 ($104,000-$155,999)",46
Persons Place of Usual Residence,Eden,"$3,000 or more ($156,000 or more)",12
Persons Place of Usual Residence,Eden,Not stated,368
Persons Place of Usual Residence,Eden,Not applicable,500
Persons Place of Usual Residence,Eden,Total,3218
Persons Place of Usual Residence,Eurobodalla Hinterland,Negative income,14
Persons Place of Usual Residence,Eurobodalla Hinterland,Nil income,186
Persons Place of Usual Residence,Eurobodalla Hinterland,"$1-$149 ($1-$7,799)",114
Persons Place of Usual Residence,Eurobodalla Hinterland,"$150-$299 ($7,800-$15,599)",257
Persons Place of Usual Residence,Eurobodalla Hinterland,"$300-$399 ($15,600-$20,799)",347
Persons Place of Usual Residence,Eurobodalla Hinterland,"$400-$499 ($20,800-$25,999)",323
Persons Place of Usual Residence,Eurobodalla Hinterland,"$500-$649 ($26,000-$33,799)",261
Persons Place of Usual Residence,Eurobodalla Hinterland,"$650-$799 ($33,800-$41,599)",252
Persons Place of Usual Residence,Eurobodalla Hinterland,"$800-$999 ($41,600-$51,999)",256
Persons Place of Usual Residence,Eurobodalla Hinterland,"$1,000-$1,249 ($52,000-$64,999)",192
Persons Place of Usual Residence,Eurobodalla Hinterland,"$1,250-$1,499 ($65,000-$77,999)",116
Persons Place of Usual Residence,Eurobodalla Hinterland,"$1,500-$1,749 ($78,000-$90,999)",68
Persons Place of Usual Residence,Eurobodalla Hinterland,"$1,750-$1,999 ($91,000-$103,999)",45
Persons Place of Usual Residence,Eurobodalla Hinterland,"$2,000-$2,999 ($104,000-$155,999)",54
Persons Place of Usual Residence,Eurobodalla Hinterland,"$3,000 or more ($156,000 or more)",38
Persons Place of Usual Residence,Eurobodalla Hinterland,Not stated,285
Persons Place of Usual Residence,Eurobodalla Hinterland,Not applicable,474
Persons Place of Usual Residence,Eurobodalla Hinterland,Total,3298
